Entity,Code,Year,month,dates,Total_Meat_Consumption
China,CHN,1972,January,January-1972,8738334460.800003
China,CHN,1973,January,January-1973,8814796270.72
China,CHN,1974,January,January-1974,8930201120.000002
China,CHN,1975,January,January-1975,9197573368.320002
China,CHN,1976,January,January-1976,9144044422.400002
China,CHN,1977,January,January-1977,9214911496.960001
China,CHN,1978,January,January-1978,10033155517.44
China,CHN,1979,January,January-1979,12139284526.080002
China,CHN,1980,January,January-1980,13611211616.640001
China,CHN,1981,January,January-1981,14226728884.480001
China,CHN,1982,January,January-1982,15151968142.08
China,CHN,1983,January,January-1983,15699010498.56
China,CHN,1984,January,January-1984,17110641757.440002
China,CHN,1985,January,January-1985,19360601855.999996
China,CHN,1986,January,January-1986,20454861818.88
China,CHN,1987,January,January-1987,22321899520
China,CHN,1988,January,January-1988,24734120455.680004
China,CHN,1989,January,January-1989,26097783029.760002
China,CHN,1990,January,January-1990,27903918881.280003
China,CHN,1991,January,January-1991,30323442350.08
China,CHN,1992,January,January-1992,33256956262.399998
China,CHN,1993,January,January-1993,36137924761.600006
China,CHN,1994,January,January-1994,39385239375.36
China,CHN,1995,January,January-1995,42600816556.799995
China,CHN,1996,January,January-1996,43269055413.76001
China,CHN,1997,January,January-1997,46794812866.560005
China,CHN,1998,January,January-1998,50764799704.31999
China,CHN,1999,January,January-1999,53067536481.28
China,CHN,2000,January,January-2000,56797151270.399994
China,CHN,2001,January,January-2001,56849928099.840004
China,CHN,2002,January,January-2002,58307902054.4
China,CHN,2003,January,January-2003,61332622535.68
China,CHN,2004,January,January-2004,61840995517.44
China,CHN,2005,January,January-2005,64476100300.8
China,CHN,2006,January,January-2006,66866911641.6
China,CHN,2007,January,January-2007,69237930536.95999
China,CHN,2008,January,January-2008,72700192279.04001
China,CHN,2009,January,January-2009,75395152239.36
China,CHN,2010,January,January-2010,77816905804.79999
China,CHN,2011,January,January-2011,78253914028.8
China,CHN,2012,January,January-2012,82526358858.24
China,CHN,2013,January,January-2013,84988376468.48
China,CHN,2014,January,January-2014,85128783900.16
China,CHN,2015,January,January-2015,85381605120
China,CHN,2016,January,January-2016,86030742620.15999
China,CHN,2017,January,January-2017,86099720071.68001
France,FRA,1961,January,January-1961,3561170989.9999995
France,FRA,1962,January,January-1962,3669534610
France,FRA,1963,January,January-1963,3735440940.0000005
France,FRA,1964,January,January-1964,3832073519.9999995
France,FRA,1965,January,January-1965,3958256400
France,FRA,1966,January,January-1966,3909100200.0000005
France,FRA,1967,January,January-1967,4049535559.9999995
France,FRA,1968,January,January-1968,4171584749.9999995
France,FRA,1969,January,January-1969,4304057540
France,FRA,1970,January,January-1970,4392101280
France,FRA,1971,January,January-1971,4500809110.000001
France,FRA,1972,January,January-1972,4573493640
France,FRA,1973,January,January-1973,4645452600
France,FRA,1974,January,January-1974,4721030690
France,FRA,1975,January,January-1975,4823677950
France,FRA,1976,January,January-1976,4958428090.000001
France,FRA,1977,January,January-1977,5045277380
France,FRA,1978,January,January-1978,5182031000.000001
France,FRA,1979,January,January-1979,5371209180
France,FRA,1980,January,January-1980,5433665159.999999
France,FRA,1981,January,January-1981,5323882770
France,FRA,1982,January,January-1982,5311825060.000001
France,FRA,1983,January,January-1983,5295273750
France,FRA,1984,January,January-1984,5368431550
France,FRA,1985,January,January-1985,5402281350
France,FRA,1986,January,January-1986,5312879250
France,FRA,1987,January,January-1987,5484966739.999999
France,FRA,1988,January,January-1988,5483510200.000001
France,FRA,1989,January,January-1989,5542257040
France,FRA,1990,January,January-1990,5593032900
France,FRA,1991,January,January-1991,5744330020
France,FRA,1992,January,January-1992,5602120409.999999
France,FRA,1993,January,January-1993,5396222200
France,FRA,1994,January,January-1994,5475947830
France,FRA,1995,January,January-1995,5656503720
France,FRA,1996,January,January-1996,5755950640
France,FRA,1997,January,January-1997,5813366850.000001
France,FRA,1998,January,January-1998,5957196920
France,FRA,1999,January,January-1999,5800542240
France,FRA,2000,January,January-2000,5907401500
France,FRA,2001,January,January-2001,6031039039.999999
France,FRA,2002,January,January-2002,5864282180.000001
France,FRA,2003,January,January-2003,5798049960
France,FRA,2004,January,January-2004,5533229680.000001
France,FRA,2005,January,January-2005,5396895999.999999
France,FRA,2006,January,January-2006,5127390239.999999
France,FRA,2007,January,January-2007,5180910060.000001
France,FRA,2008,January,January-2008,5662263180
France,FRA,2009,January,January-2009,5655138060.000001
France,FRA,2010,January,January-2010,5688753600
France,FRA,2011,January,January-2011,5645092379.999999
France,FRA,2012,January,January-2012,5686435440.000001
France,FRA,2013,January,January-2013,5544082380
France,FRA,2014,January,January-2014,5529029220
France,FRA,2015,January,January-2015,5559071250
France,FRA,2016,January,January-2016,5514240360
France,FRA,2017,January,January-2017,5384562720
Germany,DEU,1961,January,January-1961,4719563520.000001
Germany,DEU,1962,January,January-1962,4855193020.000001
Germany,DEU,1963,January,January-1963,4842724500
Germany,DEU,1964,January,January-1964,4994682000.000001
Germany,DEU,1965,January,January-1965,5141314360
Germany,DEU,1966,January,January-1966,5203018600
Germany,DEU,1967,January,January-1967,5373217219.999999
Germany,DEU,1968,January,January-1968,5719419090
Germany,DEU,1969,January,January-1969,5790531390.000001
Germany,DEU,1970,January,January-1970,6074079400.000001
Germany,DEU,1971,January,January-1971,6333140200.000001
Germany,DEU,1972,January,January-1972,6467596940.000001
Germany,DEU,1973,January,January-1973,6466109440
Germany,DEU,1974,January,January-1974,6704982700
Germany,DEU,1975,January,January-1975,6817101199.999999
Germany,DEU,1976,January,January-1976,6786281480.000001
Germany,DEU,1977,January,January-1977,6855211440
Germany,DEU,1978,January,January-1978,7168306019.999999
Germany,DEU,1979,January,January-1979,7255514999.999999
Germany,DEU,1980,January,January-1980,7433753680.000001
Germany,DEU,1981,January,January-1981,7446816719.999999
Germany,DEU,1982,January,January-1982,7270495800
Germany,DEU,1983,January,January-1983,7354708900.000001
Germany,DEU,1984,January,January-1984,7338618539.999999
Germany,DEU,1985,January,January-1985,7465424280
Germany,DEU,1986,January,January-1986,7523062140
Germany,DEU,1987,January,January-1987,7658830720
Germany,DEU,1988,January,January-1988,7671834760
Germany,DEU,1989,January,January-1989,7420784400
Germany,DEU,1990,January,January-1990,7454001659.999999
Germany,DEU,1991,January,January-1991,6973745430
Germany,DEU,1992,January,January-1992,6955181739.999999
Germany,DEU,1993,January,January-1993,6768100350
Germany,DEU,1994,January,January-1994,6776230390
Germany,DEU,1995,January,January-1995,6607148769.999999
Germany,DEU,1996,January,January-1996,6897088440
Germany,DEU,1997,January,January-1997,6639716429.999999
Germany,DEU,1998,January,January-1998,6972980980
Germany,DEU,1999,January,January-1999,6748858800
Germany,DEU,2000,January,January-2000,6735118740.000001
Germany,DEU,2001,January,January-2001,6625468360
Germany,DEU,2002,January,January-2002,6582320549.999999
Germany,DEU,2003,January,January-2003,6782939540
Germany,DEU,2004,January,January-2004,6748041900
Germany,DEU,2005,January,January-2005,6692262030
Germany,DEU,2006,January,January-2006,6715736960.000001
Germany,DEU,2007,January,January-2007,6993971900.000001
Germany,DEU,2008,January,January-2008,6948166859.999999
Germany,DEU,2009,January,January-2009,6954163999.999999
Germany,DEU,2010,January,January-2010,7075595579.999999
Germany,DEU,2011,January,January-2011,7108859519.999999
Germany,DEU,2012,January,January-2012,6996876930
Germany,DEU,2013,January,January-2013,6975281820.000001
Germany,DEU,2014,January,January-2014,7179817500
Germany,DEU,2015,January,January-2015,7187441560
Germany,DEU,2016,January,January-2016,7276634820.000001
Germany,DEU,2017,January,January-2017,7255719239.999999
India,IND,1961,January,January-1961,1700675340.8
India,IND,1962,January,January-1962,1744966410.2399998
India,IND,1963,January,January-1963,1762079621.1199996
India,IND,1964,January,January-1964,1794072160
India,IND,1965,January,January-1965,1821798979.2
India,IND,1966,January,January-1966,1849964160
India,IND,1967,January,January-1967,1899463620.8
India,IND,1968,January,January-1968,1940026041.6
India,IND,1969,January,January-1969,1971395036.1599996
India,IND,1970,January,January-1970,2004235957.76
India,IND,1971,January,January-1971,2067039636.4799998
India,IND,1972,January,January-1972,2086102243.84
India,IND,1973,January,January-1973,2141171942.4000003
India,IND,1974,January,January-1974,2197778858.88
India,IND,1975,January,January-1975,2249401743.36
India,IND,1976,January,January-1976,2295468057.6
India,IND,1977,January,January-1977,2335624305.92
India,IND,1978,January,January-1978,2396325114.88
India,IND,1979,January,January-1979,2472441928.96
India,IND,1980,January,January-1980,2572147128.32
India,IND,1981,January,January-1981,2654078439.0400004
India,IND,1982,January,January-1982,2885021565.44
India,IND,1983,January,January-1983,2937761648.6400003
India,IND,1984,January,January-1984,2982980463.36
India,IND,1985,January,January-1985,3113909200
India,IND,1986,January,January-1986,3183840654.7200003
India,IND,1987,January,January-1987,3377089774.08
India,IND,1988,January,January-1988,3441997557.1200004
India,IND,1989,January,January-1989,3506873401.6000004
India,IND,1990,January,January-1990,3597905425.92
India,IND,1991,January,January-1991,3761172161.2799997
India,IND,1992,January,January-1992,3837275573.7599998
India,IND,1993,January,January-1993,3922919055.3599997
India,IND,1994,January,January-1994,3952616293.12
India,IND,1995,January,January-1995,3952084332.8000007
India,IND,1996,January,January-1996,4008049167.36
India,IND,1997,January,January-1997,4023617871.3600006
India,IND,1998,January,January-1998,4139105169.9199996
India,IND,1999,January,January-1999,4204134835.2
India,IND,2000,January,January-2000,4205172480.0000005
India,IND,2001,January,January-2001,4332250257.919999
India,IND,2002,January,January-2002,4449800157.440001
India,IND,2003,January,January-2003,4546128840.96
India,IND,2004,January,January-2004,4721824307.2
India,IND,2005,January,January-2005,4739629233.92
India,IND,2006,January,January-2006,4848421560.32
India,IND,2007,January,January-2007,5146958976
India,IND,2008,January,January-2008,5294954488.319999
India,IND,2009,January,January-2009,5406703226.879999
India,IND,2010,January,January-2010,5406150604.8
India,IND,2011,January,January-2011,5176192320
India,IND,2012,January,January-2012,5202355668.4800005
India,IND,2013,January,January-2013,4726306920.96
India,IND,2014,January,January-2014,4534603584
India,IND,2015,January,January-2015,4808257605.120001
India,IND,2016,January,January-2016,4993429059.84
India,IND,2017,January,January-2017,5060199029.76
Indonesia,IDN,1961,January,January-1961,336065540
Indonesia,IDN,1962,January,January-1962,356194300
