per_capita_land_use,Total_land_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
14470.872041018321,176776172853.0798,Australia,AUS,1968,45.14,8.28,11.94,37.3,1.66,104.32,12216000,1274373120,January,January-1968
15071.940563491,188685623914.34384,Australia,AUS,1969,46.49,8.56,12.65,39.3,1.93,108.93,12519000,1363694670,January,January-1969
14218.8895393845,181902253877.34592,Australia,AUS,1970,44.12,9.47,13.06,36.73,1.61,104.99,12793000,1343137070,January,January-1970
15115.002351749417,196993825650.35016,Australia,AUS,1971,45.11,11.36,13.55,40.61,1.2,111.83,13033000,1457480390,January,January-1971
15726.10120410904,208276484347.22012,Australia,AUS,1972,46.31,11.99,14.12,42.8,1.06,116.28,13244000,1540012320,January,January-1972
14330.467423203921,192486838428.47507,Australia,AUS,1973,48.12,11.58,15.84,33.55,1.66,110.74999999999999,13432000,1487593999.9999998,January,January-1973
11308.21622392562,153859589942.73196,Australia,AUS,1974,40.83,13.79,14.67,23.63,1.84,94.75999999999999,13606000,1289304559.9999998,January,January-1974
16716.92394004774,230242193426.27756,Australia,AUS,1975,70.99,13.29,12.5,26.34,2.01,125.13000000000001,13773000,1723415490.0000002,January,January-1975
17397.623527211043,242453281475.21307,Australia,AUS,1976,78.47,14.18,11.82,23.41,1.88,129.76,13936000,1808335359.9999998,January,January-1976
16435.290032193217,231622542423.699,Australia,AUS,1977,78.75,15.04,12.63,17.88,1.64,125.93999999999998,14093000,1774872419.9999998,January,January-1977
16695.37847766458,237892447928.2426,Australia,AUS,1978,80.94,16.71,13.57,17.23,1.66,130.10999999999999,14249000,1853937389.9999998,January,January-1978
13811.1724504601,199060428528.48145,Australia,AUS,1979,62.15,18.21,13.21,18.22,1.68,113.47,14413000,1635443110,January,January-1979
12624.22886080006,184162250621.3513,Australia,AUS,1980,52.57,20.76,14.61,20.08,2.64,110.66,14588000,1614308080,January,January-1980
12549.616131446423,185445677574.3838,Australia,AUS,1981,51.63,19.79,15.34,20.51,2.29,109.56000000000002,14777000,1618968120.0000002,January,January-1981
13176.96434561542,197377748932.9734,Australia,AUS,1982,56.35,18.67,14.95,19.78,2.88,112.63000000000001,14979000,1687084770.0000002,January,January-1982
12051.356619935941,183120363839.92664,Australia,AUS,1983,48.45,20.32,15.4,20.6,2.55,107.32000000000001,15195000,1630727400,January,January-1983
12184.381957779919,187919722934.8397,Australia,AUS,1984,47.66,19.08,16.11,22.03,2.31,107.19,15423000,1653191370,January,January-1984
12510.10986432808,195958360914.83505,Australia,AUS,1985,47.88,21.78,16.17,23.48,2.87,112.18,15664000,1757187520,January,January-1985
12260.994373541562,195170508438.03458,Australia,AUS,1986,45.99,22.15,16.69,23.75,3.41,111.99,15918000,1782656820,January,January-1986
11985.703625366781,193964641769.3106,Australia,AUS,1987,46.18,23.09,17.01,22.03,3.8,112.11,16183000,1814276130,January,January-1987
11689.280733512842,192312046627.75327,Australia,AUS,1988,43.77,23.15,17.36,22.54,3.64,110.46,16452000,1817287920,January,January-1988
11827.116048801121,197678417639.66193,Australia,AUS,1989,45.8,23.31,17.8,21.46,3.5,111.87,16714000,1869795180,January,January-1989
12217.491086086822,207220866311.1186,Australia,AUS,1990,46.56,23.97,18.14,22.85,3.73,115.25000000000001,16961000,1954755250.0000002,January,January-1990
11661.96164050038,200457458638.56104,Australia,AUS,1991,44.53,23.85,17.91,21.65,4.18,112.12,17189000,1927230680,January,January-1991
11336.709139384478,197281412443.5687,Australia,AUS,1992,43.3,25.01,19.15,20.87,3.81,112.14000000000001,17402000,1951460280.0000002,January,January-1992
11084.4151922137,195118960628.53778,Australia,AUS,1993,42.02,25.75,18.39,20.65,4,110.81,17603000,1950588430,January,January-1993
10937.7733068616,194681427088.82962,Australia,AUS,1994,42.01,26.57,19.06,19.79,4.26,111.69000000000001,17799000,1987970310.0000002,January,January-1994
10461.288712691761,188229967807.46286,Australia,AUS,1995,40.85,26.16,19.33,18.24,4.19,108.77,17993000,1957098610,January,January-1995
10324.67705491428,187795550951.83585,Australia,AUS,1996,42.09,26.76,18.38,16.44,3.96,107.63,18189000,1957682070,January,January-1996
9538.93452617988,175392389132.86948,Australia,AUS,1997,36.76,30.86,18.81,16.75,2.71,105.89,18387000,1946999430,January,January-1997
9947.630330963582,184896604961.62012,Australia,AUS,1998,39.13,32.55,19.44,16.76,2.83,110.71000000000001,18587000,2057766770.0000002,January,January-1998
10255.105063209481,192672913927.57974,Australia,AUS,1999,42.19,30.82,18.8,15.82,2.74,110.36999999999999,18788000,2073631559.9999998,January,January-1999
10107.569204088024,191952846754.83566,Australia,AUS,2000,39.2,32.37,18.86,17.6,3.03,111.06,18991000,2109140460,January,January-2000
10099.001830681638,193850340139.93405,Australia,AUS,2001,42.32,31.62,17.69,14.88,3.45,109.96,19195000,2110682199.9999998,January,January-2001
9486.17955561174,184041369558.42337,Australia,AUS,2002,38.81,33.68,19.79,14.46,3.98,110.72000000000001,19401000,2148078720.0000005,January,January-2002
10407.441745684779,204235636817.31808,Australia,AUS,2003,45.51,34.61,20.77,13.43,3.56,117.88,19624000,2313277120,January,January-2003
8902.71815218926,176986036865.5225,Australia,AUS,2004,36.95,34.39,20.26,12.91,3.23,107.74000000000001,19880000,2141871200.0000002,January,January-2004
9817.966144738022,198116738834.66855,Australia,AUS,2005,42.39,36.92,21.78,12.86,3.33,117.28,20179000,2366593120,January,January-2005
8825.54871831646,181153212992.16367,Australia,AUS,2006,35.49,37.56,21.58,13.58,3.59,111.80000000000001,20526000,2294806800,January,January-2006
10232.670317772401,214026532366.52756,Australia,AUS,2007,43.2,39.04,22.73,14.26,2.87,122.10000000000002,20916000,2553843600.0000005,January,January-2007
8994.50761400952,191870836422.0511,Australia,AUS,2008,37.81,37.28,22.3,12.43,2.56,112.38,21332000,2397290160,January,January-2008
8923.14635382606,194087356342.07062,Australia,AUS,2009,38.51,38.25,21.58,11.43,2.51,112.27999999999999,21751000,2442202279.9999995,January,January-2009
