Total_water_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Consumption,dates,month
145976.65999999997,Vietnam,VNM,1999,2.23,4.07,15.61,0.06,0.23,22.2,79036000,1754599200,January-1999,January
1039074.16,"United States",USA,1995,43.19,43.54,30.03,0.59,0.78,118.13,265164000,31323823320,January-1995,January
987631.6099999999,"United States",USA,2010,38.66,50.94,27.99,0.43,0.8,118.82,309011008,36716687970.56,January-2010,January
106762.61,Vietnam,VNM,1988,2.34,2.44,9.97,0.05,0.15,14.950000000000001,65120000,973544000.0000001,January-1988,January
307589.74,Vietnam,VNM,2008,5.05,8.76,31.85,0.13,0.3,46.089999999999996,86243000,3974939869.9999995,January-2008,January
1032413.8200000001,"United States",USA,1982,47.76,28.08,28.1,0.74,0.95,105.63,233822000,24698617860,January-1982,January
77139.98,Vietnam,VNM,1969,1.96,1.61,6.63,0.03,0.05,10.28,42307000,434915960,January-1969,January
154177.13,Vietnam,VNM,2000,2.29,4.52,16.5,0.06,0.24,23.609999999999996,79910000,1886675099.9999998,January-2000,January
1144535.1099999999,"United States",USA,1977,56.85,23.15,26.97,0.75,1.01,108.73,223136000,24261577280,January-1977,January
1072155.02,"United States",USA,2002,43.75,49.31,29.96,0.58,0.79,124.39000000000001,287279008,35734635805.12,January-2002,January
979913.9099999999,"United States",USA,2016,36.08,55.55,29.94,0.48,0.81,122.86,323016000,39685745760,January-2016,January
115211.28,Vietnam,VNM,1992,2.41,2.44,11.23,0.03,0.18,16.29,70883000,1154684070,January-1992,January
132053.12,Vietnam,VNM,1997,2.1,3.64,13.93,0.06,0.24,19.97,77133000,1540346010,January-1997,January
474791.68,Vietnam,VNM,2015,12.2,15.16,36.7,0.16,0.13,64.35,92677000,5963764949.999999,January-2015,January
1036338.27,"United States",USA,1967,49.62,19.95,28.61,1.58,1.11,100.86999999999999,203904992,20567896543.039997,January-1967,January
81772.94,Vietnam,VNM,1962,1.95,1.72,7.35,0.03,0.05,11.1,34683000,384981300,January-1962,January
70128.45,Vietnam,VNM,1974,1.87,1.84,5.51,0.04,0.08,9.339999999999998,47658000,445125719.9999999,January-1974,January
87415.2,Vietnam,VNM,1982,2.01,2.16,7.82,0.03,0.06,12.08,56814000,686313120,January-1982,January
164992.32,Vietnam,VNM,2001,2.38,4.72,17.93,0.06,0.21,25.3,80743000,2042797900,January-2001,January
81746.42,Vietnam,VNM,1965,1.98,1.87,7.16,0.03,0.06,11.1,37859000,420234900,January-1965,January
74431.01000000001,Vietnam,VNM,1971,1.97,1.62,6.13,0.04,0.07,9.829999999999998,44484000,437277719.99999994,January-1971,January
136576.27,Vietnam,VNM,1998,2.06,3.79,14.68,0.06,0.22,20.81,78116000,1625593960,January-1998,January
1057994.03,"United States",USA,1968,50.75,19.77,29.55,1.51,1.1,102.67999999999999,205806000,21132160080,January-1968,January
1072390.83,"United States",USA,1999,43.85,47.81,30.84,0.57,0.75,123.82,278548000,34489813360,January-1999,January
1027266.49,"United States",USA,2008,40.58,51.61,29.08,0.5,0.84,122.61,303486016,37210420421.76,January-2008,January
249335.01,Vietnam,VNM,2006,3.31,5.32,29.1,0.12,0.26,38.11,84618000,3224791980,January-2006,January
109593.63999999998,Vietnam,VNM,1990,2.38,2.46,10.34,0.04,0.16,15.379999999999999,67989000,1045670819.9999999,January-1990,January
179680.94,Vietnam,VNM,2002,2.44,5.21,19.86,0.07,0.22,27.799999999999997,81534000,2266645200,January-2002,January
190498.27000000002,Vietnam,VNM,2003,2.46,5.48,21.42,0.07,0.23,29.660000000000004,82302000,2441077320.0000005,January-2003,January
479678.69000000006,Vietnam,VNM,2017,12.89,12.33,37.74,0.19,0.18,63.33,94601000,5991081330,January-2017,January
1045673.5700000001,"United States",USA,1994,43.39,43.91,30.35,0.59,0.76,119.00000000000001,262240992,31206678048.000004,January-1994,January
1065678.22,"United States",USA,2004,42.64,51.87,29.96,0.53,0.77,125.77,292355008,36769489356.159996,January-2004,January
999534.04,"United States",USA,2009,39.61,48.75,29.07,0.46,0.82,118.71,306308000,36361822680,January-2009,January
1007366.2100000001,"United States",USA,1966,48.88,19.22,26.16,1.61,1.12,96.99,201896000,19581893040,January-1966,January
1051648.6300000001,"United States",USA,1998,43.34,45.31,30.48,0.58,0.69,120.4,275175008,33131070963.2,January-1998,January
205471.77999999997,Vietnam,VNM,2004,2.65,5.04,23.72,0.09,0.22,31.719999999999995,83063000,2634758359.9999995,January-2004,January
